Charlie Lindgren	G1	Sea Lions	79
Vitek Vanecek	G2	Sea Lions	41
Kevin Fiala	LW1	Toros	22
Leon Draisaitl	C1	Toros	29
Troy Terry	RW1	Toros	19
Evander Kane	LW2	Toros	91
Ryan Strome	C2	Toros	16
Tyson Foerster	RW2	Toros	71
Alex Barré-Boulet	LW3	Toros	12
Zachary Bolduc	C3	Toros	76
Michael Spacek	RW3	Toros	43
Liam O'Brien	LW4	Toros	38
Jasper Weatherby	C4	Toros	26
Luca Del Bel Belluz	RW4	Toros	65
Victor Hedman	LD1	Toros	77
Zayne Parekh	RD1	Toros	89
Haydn Fleury	LD2	Toros	24
Jayden Struble	RD2	Toros	47
Kaeden Korczak	LD3	Toros	6
Denton Mateychuk	RD3	Toros	5
Alex Lyon	G1	Toros	34
Joel Blomqvist	G2	Toros	30
Alex Ovechkin	LW1	Wildcats	8
Evgeni Malkin	C1	Wildcats	71
Tyler Toffoli	RW1	Wildcats	73
Jeff Skinner	LW2	Wildcats	53
Pavel Zacha	C2	Wildcats	18
Nicolas Roy	RW2	Wildcats	55
William Carrier	LW3	Wildcats	28
Thomas Novak	C3	Wildcats	82
Martin Pospisil	RW3	Wildcats	76
Barclay Goodrow	LW4	Wildcats	23
Bobby McMann	C4	Wildcats	78
Daniel Sprong	RW4	Wildcats	10
Brett Pesce	LD1	Wildcats	22
Neal Pionk	RD1	Wildcats	4
Martin Fehervary	LD2	Wildcats	42
Brent Burns	RD2	Wildcats	88
Connor Clifton	LD3	Wildcats	75
Braden Schneider	RD3	Wildcats	45
Stuart Skinner	G1	Wildcats	74
Kaapo Kahkonen	G2	Wildcats	34
Jesper Bratt	LW1	Gladiators	63
Michael Bunting	C1	Gladiators	58
Matvei Michkov	RW1	Gladiators	39
Danton Heinen	LW2	Gladiators	43
Oskar Bäck	C2	Gladiators	10
Mathieu Olivier	RW2	Gladiators	24
Ryan Lomberg	LW3	Gladiators	70
Anthony Richard	C3	Gladiators	90
Dominik Kahun	RW3	Gladiators	21
Emil Heineman	LW4	Gladiators	51
Oliver Kapanen	C4	Gladiators	91
Fedor Svechkov	RW4	Gladiators	40
Uvis Balinskis	LD1	Gladiators	26
Aaron Ekblad	RD1	Gladiators	5
Emil Andrae	LD2	Gladiators	36
Nick Blankenburg	RD2	Gladiators	37
